Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Musical_Era,Voice_Presence,Predominant_Voice_Gender,Genre_Tags,Sub_Genre_Tags,Free Genre,Description,Instrument_Tags,Emotional_Profile,Mood_Tags,Simple_Mood_Tags,Character_Tags,Movement_Tags,Energy,BPM,Key,Meter
Wake Up To A Better World,7inT11ldCQak8w6odDw8pL,Mitchy & André,121995,2024-12-13,contemporary,high,female,folkCountry,country,"country pop, contemporary country",folky pop song. acoustic guitar and female vocal.,"acousticGuitar,bassGuitar",balanced,"bittersweet,uplifting,warm,positive,reflective",romantic,warm,flowing,medium,145,fsMajor,4/4
Hero,4ENjopIjOD5PKPb52NKNKo,David Kushner,21645320,2024-05-10,contemporary,high,male,pop,,"americana, alternative country, indie folk, folk, folk rock","i'll be your saviour. sensitive, warming and uplifting.","bassGuitar,piano,strings,percussion,electricGuitar",balanced,"anthemic,epic,powerful,soaring,strong","epic,energetic","epic,powerful","stomping,driving",high,110,dbMajor,3/4
Walked Through Hell,4N2LGoEJi3aGDgEAnsjtBz,Anson Seabra,174959652,2021-10-15,contemporary,high,male,pop,,"alt z, electropop, indietronica, indie poptimism, indie electropop","heartfelt, emotional pop ballad with piano and soulful male vocals.","bassGuitar,piano,synth,percussion,electricGuitar",balanced,"loving,romantic,emotional,sentimental,reflective,warm,hopeful,melancholic,bittersweet,tender,poignant,sad,intimate,nostalgic,passionate","romantic,chilled",warm,flowing,medium,164,bbMajor,4/4
Memories,2VDTqhsSzrRxsbjvv4KLPl,Dean Lewis,33854920,2024-02-01,contemporary,high,male,pop,,"viral pop, neo mellow, channel pop, post teen pop","medium / mid - tempo pop rock song with male vocals, acoustic guitar, piano and strings.","acousticGuitar,piano",balanced,"emotional,reflective,bittersweet,romantic,sentimental,melancholic,poignant,sad,passionate,loving,warm,tender","romantic,sad,chilled",warm,flowing,medium,129,dMajor,4/4
Daylight,1odExI7RdWc4BT515LTAwj,David Kushner,1377035089,2023-04-14,contemporary,high,male,"pop,rock",indieAlternative,"indie, pop, rock",a heartwarming ballad. featuring soulful male vocal.,"bassGuitar,piano,percussion",balanced,"emotional,sad,bittersweet,soaring,poignant","sad,energetic,calm",epic,stomping,medium,130,cMajor,4/4
You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,Calum Scott,1124291932,2018-03-09,contemporary,high,male,pop,,"pop rock, alt z, electropop, indiecoustica, indie poptimism, neo mellow, pop","a heartwarming ballad with piano, strings and male backing vocals.","bassGuitar,piano,strings",balanced,"emotional,hopeful,warm,uplifting,reflective","romantic,calm,happy","sparkling,warm",flowing,medium,85,bbMajor,3/4
Stay,2Yy0FsAV2I5VXU4xpph2WN,"Rihanna, Mikky Ekko",1486168044,2012-12-10,late 2000s / contemporary,high,female,folkCountry,folk,"indie, pop, adult pop, indie pop","piano and female vocals, acoustic guitars, bass and drums.","piano,strings",balanced,"sentimental,romantic,reflective,melancholic,emotional,warm,bittersweet,tender,nostalgic,poignant,sad,intimate,loving",romantic,warm,"flowing,steady",medium,112,cMajor,4/4
"I Love You, I'm Sorry",51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,445635704,2024-06-21,contemporary,high,female,pop,,"alt z, electropop, pop","a powerful, and epic pop anthem. featuring acoustic guitar, piano, strings and passionate female vocal.","acousticGuitar,bassGuitar,piano,synth,percussion",balanced,"emotional,hopeful,reflective,bittersweet,warm","romantic,calm,chilled","sparkling,warm,epic",flowing,medium,116,bbMajor,3/4
The Last Bit Of Us,3cgHwqbHcu1DKFADvkgPJ7,Dean Lewis,18403235,2024-03-28,contemporary,high,male,"pop,folkCountry,rock",folk,"indie folk, stomp and holler, singer songwriter, new americana, indiecoustica, neo mellow",a reflective male vocal tells a tale of live drums and percussion in this tale of longing and heartache.,"acousticGuitar,bassGuitar,piano,percussion,electricGuitar",balanced,"emotional,reflective,poignant,bittersweet,hopeful","romantic,chilled,sad","warm,epic",flowing,medium,120,gMajor,4/4
July,6J2LdBN97cDWn0MLxYh9HB,Noah Cyrus,1158442482,2020-05-15,late 2000s / contemporary,high,female,"rock,singerSongwriter,pop,folkCountry","folk,folkRock",,medium mid tempo pop song featuring acoustic guitar piano and soft female vocals,acousticGuitar,balanced,"warm,romantic,dreamy,calm,sentimental,tender,soft,reflective,quiet,nostalgic,serene,soothing,loving,leisurely,intimate,tranquil,lyrical,peaceful,graceful,delicate","calm,chilled,romantic,sad",sparkling,"flowing,bouncy",low,73,cMajor,4/4
Yours,0Mq0reDcNpgmQkjHfzpJrp,Ella Henderson,133799698,2014-10-13,late 2000s / contemporary,high,female,"rock,singerSongwriter,pop","folk,folkRock,indieAlternative,popSoftRock",,stirring encouraging dream pop with inspiring female vocal warm keys glowing electric guitar picks glowing synth pads and tripping beats,,balanced,"emotional,solemn,thoughtful,bittersweet,concerned","calm,chilled,romantic,sad,ethereal",sparkling,flowing,low,125,cMajor,4/4
You Said You'd Grow Old With Me,41WTP0gosjYD74B06uS2tL,Michael Schulte,158859616,2012-09-28,mid / late 1990s,high,male,"pop,rock,singerSongwriter","folkRock,indieAlternative,popSoftRock",,medium mid tempo pop song featuring acoustic piano acoustic guitar and powerful male vocals,piano,balanced,"sad,thoughtful,emotional,bittersweet,solemn,lonely,blue,melancholic,spiritual,poignant,concerned,introspective,nostalgic,reflective","calm,chilled,romantic,sad","cool,warm",flowing,low,115,cMajor,4/4
song that you'll probably never hear,16Yk5UIPuEC2mZK4atNpYI,sad alex,141698,2024-12-13,contemporary,high,female,"folkCountry,pop,rnb",folk,"lo-fi, chill, sad rap",adult female and children's voices with piano.,piano,positive,"sweet,innocent,light,cheerful,warm","romantic,chilled,happy","playful,sparkling",bouncy,medium,92,cMajor,4/4
Complicated,226PUvIuxGdceSijXXZRRz,Olivia O'Brien,378068044,2015-08-09,contemporary,high,female,pop,,"indie, pop","downtempo, sophisticated, street - party hip hop beats, piano and bass.","piano,synth,percussion",balanced,"dreamy,seductive,serious,bittersweet,reflective","chilled,calm,energetic",cool,flowing,medium,75,gMajor,4/4
Superficial Love,5hwh37sTi84MVhCBMWzhGE,Ruth B.,230862340,2015-11-27,early / mid 1990s,high,female,pop,,,jazz song minimal electro jazz. confident sensual and intimate. female singer piano and rhythm,piano,balanced,"emotional,reflective,nostalgic,thoughtful,bittersweet,sentimental,solemn,romantic,spiritual","calm,chilled,romantic",playful,"bouncy,flowing",low,148,abMajor,4/4
Lost Boy,0zMzyHAeMvwq5CRstru1Fp,Ruth B.,879622199,2017-05-05,late 2000s / contemporary,high,female,"pop,rock,singerSongwriter","bluesRock,folkRock,popSoftRock",,medium mid tempo pop song featuring acoustic piano melodic piano powerful female vocals and female backing vocals,piano,negative,"warm,romantic,dreamy,calm,tender,sentimental,soft,quiet,soothing,reflective,leisurely,serene,loving,nostalgic,relaxed,tranquil,intimate,peaceful,sweet,lyrical,graceful,delicate","calm,chilled,romantic,sad,ethereal","cool,warm",flowing,low,62,gMajor,4/4
hate u love u,6ATgDc6e4sPn84hvJsAmPt,Olivia O'Brien,470000372,2016-12-09,contemporary,high,female,"rnb,pop",,"alt z, social media pop, chill r & b",emotional randb pop song with female vocal and lyrics.,"bassGuitar,piano,synth,percussion,bass",positive,"romantic,passionate,emotional,loving,reflective",romantic,cool,flowing,medium,92,fsMinor,4/4
Be Alright,5qrSlOut2rNAWv3ubArkNy,Dean Lewis,1884158519,2019-03-22,contemporary,high,male,"folkCountry,pop",country,"pop rock, acoustic cover, channel pop, post teen pop, viral pop, neo mellow","emotive, heartfelt modern pop ballad with male vocals.","acousticGuitar,bassGuitar,piano,synth,percussion,electricGuitar",balanced,"emotional,reflective,hopeful,warm,bittersweet,sentimental,loving,melancholic,poignant,nostalgic,sad,romantic,inspirational","romantic,chilled,sad",warm,"flowing,steady,stomping",medium,127,bMajor,4/4
Let It All Go,5MzXUNfn8AAcz4Z6j2KgTK,"RHODES, Birdy",260866211,2015-09-18,contemporary,high,female,"pop,rock","indieAlternative,popSoftRock,psychedelicProgressiveRock","indie, pop, indie rock","emotive, heartfelt modern pop ballad with female vocals.","percussion,strings,piano,acousticGuitar,bassGuitar",balanced,"emotional,inspirational,hopeful,uplifting,reflective","energetic,calm,romantic",epic,flowing,medium,108,bbMajor,4/4
When We Were Young,6O5TrlFWTYvznd9fMC0VvU,Adele,1406683773,2015-11-20,late 2000s / contemporary,none,none,"pop,folkCountry",folk,,sensual and romantic. smooth bossa nova featuring female vocals,"percussion,piano,acousticGuitar,bass,bassGuitar",balanced,"romantic,solemn,sentimental,bittersweet,reflective","calm,chilled,romantic,sad,ethereal",warm,flowing,low,147,ebMajor,4/4
Wings,2Kz5qeXifBxE0zmuoVchlM,Birdy,349029825,2013-09-16,mid / late 2000s,high,female,"pop,rock","indieAlternative,popSoftRock","indie, indie folk, grunge, indie pop",uplifting pop rock with bright piano and female vocals. panoramic electric guitar and synth waves. positive and motivational feel.,"bassGuitar,piano,percussion,electricGuitar",positive,"uplifting,inspirational,anthemic,confident,emotional","uplifting,energetic,epic",sparkling,"flowing,stomping",medium,83,gMajor,4/4
To Build A Home,54KFQB6N4pn926IUUYZGzK,"The Cinematic Orchestra, Patrick Watson",671977293,2007-05-07,late 1990s / early 2000s,high,male,pop,,,warm and hopeful. tender piano and uplifting strings create an aura of optimism,piano,negative,"emotional,reflective,thoughtful,nostalgic,sad,bittersweet,solemn,spiritual,poignant,blue,introspective,melancholic,sentimental,concerned,lonely","calm,chilled,romantic,sad",warm,flowing,low,75,aMajor,4/4
Say Something,5TvE3pk05pyFIGdSY9j4DJ,"A Great Big World, Christina Aguilera",1111944885,2014-01-13,mid / late 1990s,high,female,"pop,rock,singerSongwriter,folkCountry",popSoftRock,"indie, pop, adult pop, indie pop","emotive, heartfelt modern pop ballad with piano, strings and female vocals.","strings,piano",balanced,"emotional,hopeful,sentimental,reflective,warm,poignant,nostalgic,romantic,tender,loving,melancholic,inspirational,sad,bittersweet,uplifting,intimate",romantic,warm,flowing,low,94,dMajor,3/4
Robin Hood,5dyihZecYMcEPq09Bk2OL2,Anson Seabra,111333072,2018-09-21,mid / late 1970s,high,male,"pop,rock,singerSongwriter",popSoftRock,,a gentle and vulnerable pop song with minimal instrumentation climaxing into an insistent techno beat,piano,balanced,"reflective,nostalgic,thoughtful,bittersweet,sentimental,calm,emotional,quiet,romantic,spiritual,solemn,sad,introspective,dreamy","calm,chilled,romantic,sad,ethereal",warm,flowing,low,78,eMajor,4/4
Not About Angels,5sF7hdYvhrcgNq8NZjfK8L,Birdy,441043735,2014-04-13,mid / late 1980s,high,female,pop,,,a beautiful female voice sings a spare simple sad melody accompanied by a small group of other women. more vocal harmonies enter darkening the already haunting atmosphere,"strings,piano",negative,"emotional,thoughtful,reflective,bittersweet,sad,solemn,nostalgic,spiritual,poignant,concerned","calm,chilled,romantic,sad,ethereal","sparkling,warm",flowing,low,60,cMajor,4/4
Train Wreck,55Am8neGJkdj2ADaM3aw5H,James Arthur,884095837,2016-10-28,contemporary,high,male,"pop,rock",popSoftRock,,emotional piano intro building up with electric guitar and strings. confident and emotional. a 4 4,"percussion,strings,bass",balanced,"emotional,thoughtful,solemn,bittersweet,sad,concerned,spiritual","calm,chilled,romantic,ethereal",warm,"flowing,driving",low,75,aMajor,4/4
Jealous,4G92yYrUs0cvY7G41YRI0z,Labrinth,777644180,2014-11-23,late 2000s / contemporary,high,male,"funkSoul,pop,rnb","gospel,neoSoul,soul",,powerful soul pop ballad with reflective male lead and backing vocals reflective verses with piano chords and rising strings to rousing chorus with empowered lyrics lush brass and harmonies,bass,balanced,"sad,thoughtful,emotional,bittersweet,reflective,nostalgic,solemn,melancholic,blue,lonely,poignant,spiritual,introspective,concerned","calm,chilled,romantic,ethereal",warm,flowing,low,85,dbMajor,4/4
Make Me (Cry) - Acoustic Version,6pP5RJbBH6eKR8BCYX3MSU,"Noah Cyrus, Labrinth",44538907,2016-12-13,late 2000s / contemporary,high,male,"pop,rock,singerSongwriter","bluesRock,indieAlternative,popSoftRock",,powerful and intimate pop ballad with passionate male vocal piano and sweeping strings,piano,negative,"warm,dreamy,romantic,calm,tender,sentimental,soft,reflective,quiet,serene,nostalgic,soothing,leisurely,tranquil,loving,peaceful,intimate,delicate,graceful,lyrical,hopeful,sweet","calm,chilled,romantic,sad,ethereal",warm,"nonrhythmic,flowing",low,77,fMajor,4/4
Take Me Home,76eBb8heDKtUg68WiKX9j1,Jess Glynne,370016786,2015,contemporary,high,female,pop,,,soulful pop ballad with empowering female vocals stripped back verses and empowering choruses featuring piano and spacious drums,"percussion,synth,bass",balanced,"romantic,emotional,reflective,thoughtful,warm","calm,chilled,romantic,ethereal","sparkling,warm",flowing,low,150,aMajor,4/4
Smile,3MJ6lFNV12FSHAOzTzkwxz,Morgan Wallen,20998689,2024-12-31,contemporary,high,male,pop,,"alternative rock, music","heartfelt, emotional pop ballad with a soulful male vocal.","acousticGuitar,bassGuitar,piano,electricGuitar",balanced,"romantic,warm,sentimental,loving,intimate,reflective,tender,dreamy,emotional,bittersweet,hopeful,nostalgic,serene,melancholic","romantic,chilled,calm",warm,flowing,low,127,bMajor,4/4
The Man Who Can't Be Moved,4AFwnrH5atiJoAd5xS5QtR,The Script,831770681,2008-07-14,contemporary,none,none,pop,,,smooth laid back pop flavors,"percussion,electricGuitar,acousticGuitar,bass,bassGuitar",balanced,"warm,contented,sweet,kind,hopeful,feelGood,romantic,light","calm,chilled,romantic,sad,ethereal",warm,flowing,low,200,bbMajor,4/4
Us,16XiTUC2rQvb5lmtOm3FYY,James Bay,376999869,2018-05-18,contemporary,high,male,folkCountry,country,"indie, alternative rock, music, indiecoustica, neo mellow, folk pop","i'll be your saviour. sensitive, warming and uplifting.","bassGuitar,piano,strings,synth,percussion,electricGuitar",positive,"anthemic,soaring,inspirational,confident,uplifting","epic,energetic,uplifting","epic,powerful,cool",stomping,medium,140,cMajor,4/4
"I miss you, I’m sorry",4nyF5lmSziBAt7ESAUjpbx,Gracie Abrams,543074692,2020-07-14,contemporary,high,female,"pop,rock",indieAlternative,"indie poptimism, electropop, nightrun",a gentle build to a uptempo high - energy ending.,"piano,synth,percussion",positive,"soaring,inspirational,anthemic,aweInspiring,uplifting","epic,ethereal,calm",epic,flowing,medium,110,gMajor,4/4
Apologize,1NrJYpdAi7uosDRPmSYrsG,OneRepublic,830456461,2007-01-01,contemporary,high,male,pop,,"indie, pop, rock","melancholic, emotional pop song with a dreamy piano and male vocals. well - suited as a score for drama or romance!","piano,synth,percussion,electricGuitar",balanced,"bittersweet,blue,lonely,emotional,sad,melancholic,thoughtful,introspective,poignant,serious,passionate","calm,sad,ethereal",cool,flowing,low,118,ebMajor,4/4
The Scientist,75JFxkI2RXiU7L9VXzMkle,Coldplay,2156423191,2002-08-27,early / mid 2000s,high,male,"rock,pop,singerSongwriter","country,folkRock,indieAlternative,popSoftRock",,medium tempo and uplifting acoustic pop rock with male vocals and piano,"percussion,electricGuitar,acousticGuitar,bass,bassGuitar",balanced,"reflective,nostalgic,sentimental,romantic,thoughtful,emotional,bittersweet,quiet,calm,solemn,spiritual","calm,chilled,happy,romantic",warm,flowing,low,147,fMajor,4/4
Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,One Direction,1520273200,2013-11-25,mid / late 2000s,high,male,folkCountry,folk,,tender and soulful acoustic indie pop with male vocals. guitar hero chorus,"percussion,acousticGuitar,bass",positive,"inspirational,aweInspiring,uplifting,passionate,soaring",happy,epic,"driving,stomping,pulsing,bouncy,running,flowing",medium,121,ebMajor,4/4
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,The Fray,1329642382,2005-09-13,contemporary,high,male,folkCountry,country,,medium tempo acoustic pop rock with male vocals piano and soaring guitars,"percussion,piano,electricGuitar,acousticGuitar,bass,bassGuitar",balanced,"emotional,solemn,thoughtful,bittersweet,passionate","epic,romantic,sad",warm,flowing,medium,122,bbMajor,4/4
Scared To Start,3Pbp7cUCx4d3OAkZSCoNvn,Michael Marcagi,573895916,2024-01-12,contemporary,high,male,"pop,folkCountry",folk,"indie, indie folk, indie anthem folk","emotive, heartfelt modern pop ballad with soulful male vocals.","acousticGuitar,bassGuitar,piano,percussion,electricGuitar",balanced,"warm,emotional,hopeful,reflective,sentimental,romantic,nostalgic,loving,bittersweet,poignant,uplifting,tender,inspirational","romantic,chilled",warm,flowing,medium,148,gMajor,4/4
You Found Me,4IoYz8XqqdowINzfRrFnhi,The Fray,545062489,2009-02-02,contemporary,high,male,"rock,pop,singerSongwriter",indieAlternative,,medium mid tempo alternative rock song featuring melodic guitars driving drums and male vocals,"percussion,electricGuitar,acousticGuitar,bass,bassGuitar",negative,"emotional,hopeful,solemn,passionate,thoughtful","energetic,epic",warm,stomping,high,152,bMajor,4/4
She Will Be Loved - Radio Mix,4llK75pXNWZz6KAho2Gp16,Maroon 5,1594459470,2002,contemporary,high,male,pop,,"festigal, eurovision, pop",uplifting pop with male vocal.,"acousticGuitar,bassGuitar,piano,synth,percussion,electricGuitar",positive,"warm,romantic,optimistic,positive,uplifting,loving,sentimental,hopeful","chilled,romantic","warm,cool",flowing,medium,102,ebMajor,4/4
Bad Day,0mUyMawtxj1CJ76kn9gIZK,Daniel Powter,629805903,2005-02-22,contemporary,high,male,"rock,singerSongwriter,pop,folkCountry","country,popSoftRock",,medium tempo pop rock ballad with male vocals piano and strings,"percussion,electricGuitar,acousticGuitar,bass,bassGuitar",balanced,"emotional,solemn,hopeful,thoughtful,bittersweet","epic,sad",warm,flowing,medium,140,ebMajor,4/4
All I Want,0NlGoUyOJSuSHmngoibVAs,Kodaline,1225590055,2013-06-17,late 2000s / contemporary,high,male,"rock,singerSongwriter,pop","folk,folkRock,indieAlternative",,a mid tempo indie lad stomper,"acousticGuitar,bassGuitar",negative,"emotional,solemn,thoughtful,bittersweet,concerned","epic,sad",warm,flowing,medium,125,cMajor,4/4
ceilings,2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,669768710,2022-04-08,late 2000s / contemporary,high,female,pop,,,a heartfelt and hopeful beauty of an indie pop ballad,"strings,electricGuitar,acousticGuitar,bass,bassGuitar",negative,"thoughtful,reflective,emotional,bittersweet,nostalgic,sad,solemn,spiritual,introspective","calm,chilled,romantic,sad,ethereal","warm,sparkling",flowing,low,148,aMajor,3/4
Someone Like You,3bNv3VuUOKgrf5hu3YcuRo,Adele,2168534823,2011-01-24,mid / late 1990s,high,female,"rock,singerSongwriter,pop","folk,popSoftRock",,a rousing and soaring anthem of positivity,piano,positive,"reflective,nostalgic,sentimental,romantic,emotional,thoughtful,bittersweet,solemn,quiet,spiritual,calm","calm,chilled,happy,romantic",sparkling,flowing,low,135,aMajor,4/4
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,3133682610,2016-10-28,contemporary,high,male,"pop,rock,singerSongwriter","bluesRock,indieAlternative,popSoftRock",,emotional and soulful pop with male vocals gospel inspiration. warm guitar arpeggios and light drums. tender and romantic,"percussion,piano,acousticGuitar",balanced,"warm,romantic,tender,contented,hopeful,sweet,dreamy,kind,leisurely,loving,sentimental,light","calm,chilled,romantic,ethereal",warm,flowing,low,95,bbMajor,4/4
