Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Musical_Era,Voice_Presence,Predominant_Voice_Gender,Genre_Tags,Sub_Genre_Tags,Free Genre,Description,Instrument_Tags,Emotional_Profile,Mood_Tags,Simple_Mood_Tags,Character_Tags,Movement_Tags,Energy,BPM,Key,Meter
Back To The Future,5F7I0CfdEnVSPlwFabMyIi,The Outatime Orchestra,12829783,1985-01-01,late 1990s / early 2000s,none,none,classical,,"theme, soundtrack, classic soundtrack",swashbuckling fantasy theme.,"brassWoodwinds,percussion",positive,"heroic,majestic,triumphant,victorious,proud,prestigious,powerful,adventurous","epic,energetic",heroic,"stomping,running",high,78,bbMajor,3/4
This Land,6EKywtYHtZLAvxyEcqrbE7,"Hans Zimmer, Lebo M.",85966611,1994-01-01,contemporary,high,female,"pop,classical,ambient",,"epicore, soundtrack, orchestral soundtrack, video game music",a dramatic and emotional orchestral hybrid track featuring percussion and choir.,"brassWoodwinds,strings",balanced,"epic,majestic,heroic,triumphant,proud,noble,dignified,courageous,victorious,inspirational,emotional,passionate,adventurous,aweInspiring,uplifting,prestigious",epic,"heroic,epic","flowing,stomping",high,78,eMinor,3/4
Rose,2yEt5pA29CwKNXSplwnhgn,James Horner,56137137,1997,late 2000s / contemporary,high,female,"ambient,classical",,,a gentle female voice leads a choir of women singing warm chords that carry us forward accompanied by delicate instrumental support. 55 swirling instrumental textures enter interrupt then leave,"strings,brassWoodwinds",negative,"romantic,solemn,sentimental,lyrical,nostalgic","calm,chilled,romantic,sad,ethereal","heroic,epic,ethereal",flowing,low,84,fMajor,4/4
Main Title (The Godfather Waltz),1swKKFR5trqbz9yxxL3WVO,Nino Rota,24301517,1991-01-01,early / mid 1980s,none,none,jazz,easyListening,"easy listening, ballroom, lounge",melancholic and nostalgic. violin ensemble with pizzicati.,"strings,brassWoodwinds",negative,"mysterious,melancholic,nostalgic,lonely,sad",sad,"mysterious,magical",steady,medium,106,dMinor,3/4
The Fabelmans,5T7vBdg23LE9Nzn1YRVBEO,"John Williams, Simone Pedroni",1276779,2024-08-09,late 2000s / contemporary,none,none,classical,,"classical piano, classical, romantic classical",romantic and nostalgic solo piano waltz.,piano,balanced,"reflective,sentimental,nostalgic,romantic,intimate,melancholic,graceful,tender,delicate,poignant,lyrical,warm,emotional,soft,bittersweet,serene,calm","romantic,calm,chilled",sophisticated,flowing,low,69,gMajor,3/4
Chevaliers De Sangreal - From The Da Vinci Code Original Motion Picture Soundtrack,64q5EfFKR9hYJ1FHqSClxe,"Hans Zimmer, Richard Harvey",80722812,2006-01-01,contemporary,high,female,classical,,"soundtrack, scorecore","epic - romantic orchestral film score featuring a catchy theme, big choir, solo trumpet as well as mighty percussions.","brassWoodwinds,strings",balanced,"emotional,noble,dignified,aweInspiring,majestic,inspirational",epic,"heroic,epic",flowing,medium,79,dMinor,3/4
One Day,2wbN4OiwGcUXXpR6xKkugA,Hans Zimmer,49534159,2007-01-01,contemporary,high,female,classical,,"soundtrack, orchestral, trailer, video game music","epic - melancholic orchestral film score featuring a lyrical solo voice, big choir as well as mighty percussions.","brassWoodwinds,strings,synth",negative,"epic,emotional,mysterious,serious,majestic",epic,epic,flowing,medium,136,dMinor,3/4
Merry-Go-Round of Life - from 'Howl’s Moving Castle',3jJzXe7sNKDRPhigSDb23s,"Joe Hisaishi, Royal Philharmonic Orchestra",15130494,2023-06-30,mid / late 1990s,none,none,classical,,"soundtrack, classic soundtrack",fantasy film and adventure. majestic symphony orchestra and mixed chorus.,"brassWoodwinds,strings",balanced,"noble,dignified,passionate,majestic,mysterious","epic,energetic,dark","magical,heroic",flowing,medium,70,cMajor,3/4
Test Drive - From How To Train Your Dragon Music From The Motion Picture,2QTDuJIGKUjR7E2Q6KupIh,John Powell,93979131,2010-01-01,contemporary,high,female,"metal,classical,ambient,rock,pop,jazz,singerSongwriter",blackMetal,"soundtrack, scorecore, video game music","dark, brooding strings, and brass swells and build to epic choral finale.","brassWoodwinds,strings,synth,percussion",negative,"epic,powerful,intense,heroic,strong,courageous,relentless,adventurous,exciting,resolute,determined,exhilarating","energetic,epic,aggressive","epic,heroic,powerful","running,driving",high,111,dMinor,4/4
Earth,6b4aMRJyI1vqwvrNZkDU4e,"Hans Zimmer, Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra",36187458,2000-01-01,contemporary,none,none,ambient,,soundtrack,"dreamy and panoramic. string orchestra, harp and celesta.",strings,balanced,"emotional,nostalgic,serene,reflective,poignant,peaceful,sentimental,calm,warm,thoughtful,delicate,melancholic,sad,bittersweet,introspective,tender,mournful","calm,sad,chilled",warm,flowing,low,70,gMajor,3/4
Star Wars (Main Theme),7a9UUo3zfID7Ik2fTQjRLi,"John Williams, London Symphony Orchestra",31998298,1980-01-01,early / mid 2000s,none,none,classical,,"soundtrack, classic soundtrack","dark and eerie, this track is a classic film / tv / trailer / animation movie. cinema / detective / spy movie. symphony orchestra and percussion.","brassWoodwinds,strings",negative,"ominous,suspenseful,menacing,intense,mysterious,frightening","dark,scary,aggressive","magical,heroic,epic,mysterious","running,nonrhythmic,driving,stomping",high,70,cMajor,4/4
A Model of the Universe,5ay0cvjtVAbMLOe8gTadFh,Jóhann Jóhannsson,71515915,2014-11-04,late 2000s / contemporary,none,none,classical,,,sad and solitary. piano and string orchestra,"strings,piano,bassGuitar",negative,"thoughtful,sad,emotional,bittersweet,reflective,nostalgic,blue,lonely,solemn,melancholic,spiritual,introspective,poignant,concerned","calm,chilled,romantic,sad,ethereal",sophisticated,flowing,low,94,bbMajor,4/4
"Dune II Suite: Part 2, A Time of Quiet Between the Storms",5ryKPoh8DrQK3aUgXYXH1B,"Hans Zimmer, Juan Garcia Herreros, Aleksandra Suklar, Odessa Orchestra & Friends, Gavin Greenaway",143343,2025-01-10,mid / late 2000s,high,female,ambient,,"instrumental, ambient","dark and mysterious, featuring spacious strings and choir that create a disquieting mood.","strings,synth",negative,"spiritual,serious,mysterious,emotional,mournful","ethereal,calm,dark",ethereal,flowing,medium,136,bMinor,3/4
House of Woodcock,6FZDedaCzYhO4sdG3VYcHZ,Jonny Greenwood,11320949,2018-01-12,mid / late 1990s,none,none,classical,,soundtrack,"a romantic french film : love is in the air, a waltzing piano plays a romantic melody over a light string bed.","strings,piano,bassGuitar",balanced,"emotional,graceful,nostalgic,reflective,poignant","calm,romantic,chilled","sophisticated,magical",flowing,medium,69,cMajor,3/4
Lily's Theme,3Ra4rkq1ExwPXwrPQeHBWg,Alexandre Desplat,82574840,2011-07-12,early / mid 1990s,none,none,classical,,,a film score orchestral track in a epic mood,strings,negative,"emotional,solemn,sad,thoughtful,concerned,bittersweet,spiritual","calm,chilled,romantic,sad,ethereal",epic,flowing,low,85,csMinor,3/4
"As Time Goes By from ""Casablanca"" (1942)",5JCMmD3ysCoxTD8c04iG5L,"Herman Hupfeld, Itzhak Perlman, John Williams, Boston Pops Orchestra",323820,1999-03-17,late 1980s / early 1990s,none,none,classical,,"violin, classical, impressionism, post romantic era, orchestra",string quartetspa orchestra. bach's violin concerto no.,strings,negative,"passionate,melancholic,poignant,sad,mournful","sad,calm,romantic","sophisticated,mysterious,magical,ethereal","nonrhythmic,flowing",medium,78,abMajor,3/4
"The Breaking of the Fellowship (feat. ""In Dreams"")",1ykbtFnlIjmIFnZ8j6wg6i,"Howard Shore, Edward Ross",78146591,2001-11-19,early / mid 1980s,none,none,classical,,,classical work in an authentic recording,strings,negative,"romantic,sentimental,solemn,lyrical,warm","calm,chilled,romantic,sad,ethereal",warm,"flowing,nonrhythmic",low,84,bMinor,4/4
James Bond Theme,6xGQ24VLMjxVJcBQ85ifx1,"Monty Norman, John Barry Orchestra",29527948,2014-02-01,late 1980s / early 1990s,none,none,jazz,"bigBandSwing,contemporaryJazz","lounge, easy listening, adult standards, classic soundtrack, exotica","a unique collection of comedy and cartoon composition. archival recording from the 60s / 70s, newly mastered.","percussion,bass,bassGuitar,brassWoodwinds",balanced,"exciting,powerful,energetic,strong,exhilarating","energetic,epic","powerful,heroic","stomping,running,driving",high,140,eMajor,4/4
The Imitation Game,0o9ivTBX7mjTnaUYF4Gk6t,"Alexandre Desplat, London Symphony Orchestra",71471090,2014-11-07,early / mid 2000s,none,none,classical,,,positive and majestic. string orchestra and woodwind ensemble over a light percs ensemble,strings,negative,"solemn,dignified,noble,emotional,passionate","epic,romantic,sad","sparkling,heroic,magical,epic",flowing,low,104,fMinor,4/4
Robin Hood: Prince of Thieves,7K18xAZJwsi3ovTJscjFol,Cinematic Symphony Orchestra,488696,2023-02-08,contemporary,high,female,"classical,ambient",,"orchestral soundtrack, soundtrack, scorecore, video game music","triumphant, victorious orchestral theme. featuring huge brass fanfares. victorious climax and back end.","brassWoodwinds,strings",positive,"majestic,heroic,epic,triumphant,victorious,proud,prestigious,adventurous,powerful,noble,courageous,inspirational,uplifting,dignified,confident,aweInspiring,soaring",epic,"heroic,epic",stomping,high,69,cMajor,4/4
The Batman,1NkI8DtCnjcWVCVLF0gB71,Michael Giacchino,31740795,2022-02-24,contemporary,medium,female,classical,,soundtrack,"heroic, epic - dramatic orchestral film score featuring a big choir as well as mighty percussions.","percussion,strings,brassWoodwinds",balanced,"epic,heroic,majestic,emotional,dignified,serious,proud,passionate",epic,"heroic,epic","flowing,running,stomping,driving",high,85,dbMajor,4/4
Can You Hear The Music,4VnDmjYCZkyeqeb0NIKqdA,Ludwig Göransson,122943507,2023-07-21,contemporary,none,none,ambient,,epicore,instrumental music underscore. without choir and percussion.,synth,balanced,"epic,exhilarating,powerful,courageous,determined,strong,resolute,heroic,relentless,exciting,emotional,majestic,passionate,inspirational,soaring,aweInspiring,serious,intense,confident,triumphant","energetic,epic","epic,heroic,powerful","running,driving,pulsing",high,111,gMajor,4/4
"The Theme from ""A Summer Place""",6zwvB879PJSpTyFcg2wwnL,Percy Faith & His Orchestra,50746064,1989-06-13,late 1950s / early 1960s,none,none,"jazz,pop",easyListening,,smooth and romantic. smooth bossa nova featuring strings and woodwinds,"strings,bassGuitar,brassWoodwinds",balanced,"kind,sweet,cheerful,innocent,bright","calm,chilled,romantic,sad","sophisticated,luxurious,retro",steady,low,185,dMajor,3/4
Final Ascent,7nERpoaVj6tizE9dKnbpgp,Hans Zimmer,8100643,2021-10-01,contemporary,none,none,classical,,"orchestral soundtrack, soundtrack, scorecore, video game music","dark, ominous, and foreboding string swells create a tense atmosphere.","brassWoodwinds,strings,synth",negative,"sad,emotional,poignant,mournful,serious,depressing,bittersweet","sad,dark",epic,flowing,medium,70,eMinor,3/4
"Epilogue - From ""Frozen""/Score",0EUodO4zn5fiWhADyOxiC9,Christophe Beck,13239989,2013-01-01,late 1990s / early 2000s,high,female,"jazz,classical",easyListening,soundtrack,grandiose and majestic. symphony orchestra and mixed chorus.,"brassWoodwinds,strings",positive,"majestic,proud,noble,inspirational,dignified,uplifting,heroic,prestigious,triumphant",epic,"heroic,magical,epic","flowing,stomping",medium,110,ebMajor,4/4
Pink Panther Theme,1QPRmX2e3EZWskuOe5QqxM,Henry Mancini,26777866,2006-01-01,early / mid 2000s,none,none,jazz,bigBandSwing,jazz orchestra,classic big band swing with a great brass section and a great a tom tom toms playing the melody. it has a classic late 50's / early 60's detective feel over a lush top showbiz base.,"bassGuitar,brassWoodwinds,piano,strings,percussion",positive,"bright,confident,playful,upbeat,excited",happy,"luxurious,sophisticated,retro",steady,medium,117,gMinor,4/4
"Tara's Theme (From ""Gone with the Wind"" 1939)",2snz7Wi9ImuxwqHlcBNFrB,"Max Steiner, Itzhak Perlman, John Williams, Boston Pops Orchestra",320401,1999-03-17,late 1990s / early 2000s,none,none,classical,,lds,"a romantic orchestral piece featuring a catchy melody, strings and a solo violin.","piano,strings",balanced,"romantic,graceful,lyrical,sentimental,warm,serene,peaceful,tender","romantic,chilled,calm","warm,sophisticated,luxurious","flowing,nonrhythmic",low,70,fMajor,3/4
Armstrong Cabin,0UJEym12sdx3m5UlY2HYfp,Justin Hurwitz,55169792,2018-10-12,late 1990s / early 2000s,none,none,classical,,soundtrack,,"strings,piano",balanced,"thoughtful,emotional,poignant,dreamy,mysterious",calm,"magical,sparkling,ethereal,mysterious",flowing,medium,115,bbMajor,3/4
Main Title,4Rhue1CTPr3n1P3Zs0jPwU,Jerry Goldsmith,3393244,2007-01-01,early / mid 1990s,none,none,classical,,"orchestra, classical, modern classical, compositional ambient","broad, episodic theme building to finale.","brassWoodwinds,strings",balanced,"majestic,noble,epic,dignified,heroic",epic,"heroic,epic","flowing,stomping,nonrhythmic",medium,70,eMajor,3/4
Logos / The Matrix Main Title,1FwhTB4R0lOWII5tc6cl9P,Don Davis,2268989,1999,contemporary,high,female,"ambient,classical",,"orchestral soundtrack, soundtrack, scorecore, video game music","mysterious and eerie, featuring dark strings and choir that create a suspenseful mood.","brassWoodwinds,strings,synth",negative,"ominous,mysterious,eerie,menacing,suspenseful",dark,"epic,magical,mysterious,heroic",nonrhythmic,medium,70,eMinor,3/4
"La leçon particulière - Bande originale du film ""La leçon particulière""",4OWa2dOlmtvMDhFrFL0QA1,"Francis Lai, Christian Gaubert",103456588,2003-01-01,early / mid 1970s,none,none,"funkSoul,blues","funk,soul","instrumental soul, southern soul, soul, instrumental funk, funk, memphis soul, classic soul","soulful 60's / 70's pop. melancholic and catchy. string orchestra, jazz guitar solo.","bassGuitar,brassWoodwinds,strings,percussion,electricGuitar",balanced,"seductive,passionate,sexy,bittersweet,nostalgic,romantic,melancholic","chilled,romantic,sexy","retro,warm,luxurious,cool,sophisticated","steady,groovy,flowing,stomping",medium,74,dMinor,3/4
"Hymn To The Fallen - From ""Saving Private Ryan"" Soundtrack",71zPpqRMdkEUCl7cPQIBrV,John Williams,11836580,1998-01-01,early / mid 2000s,high,female,classical,,psalmen,fantasy film and adventure. majestic symphony orchestra and choir.,"brassWoodwinds,strings",positive,"majestic,inspirational,dignified,noble,epic",epic,"heroic,magical",flowing,medium,78,gMajor,4/4
Main Title (I Had A Farm In Africa),2CVcuBnF52i0gPba28XWgx,John Barry,12384180,1985-01-01,mid / late 1990s,none,none,"classical,jazz",easyListening,"soundtrack, classic soundtrack","warm, romantic theme building to grand finale.","strings,brassWoodwinds",balanced,"romantic,loving,warm,lyrical,tender",romantic,"magical,warm,heroic,epic","nonrhythmic,flowing",medium,136,cMajor,3/4
Misty Mountains,3AAwJ043uT1wXSKDtGyuxF,"Richard Armitage, The Dwarf Cast",198206049,2012-12-11,late 1980s / early 1990s,high,male,"rock,ambient,folkCountry,metal",folkRock,"tibetan mantra, meditation",a capella men's voices ensemble.,,negative,"spiritual,solemn,leisurely,serious,bittersweet","ethereal,calm","mysterious,ethereal","flowing,steady",low,70,dMinor,3/4
"Main Title / Apollo 13 / James Horner - From ""Apollo 13"" Soundtrack",2w3cVCQbsUgwuXXno4O3fv,James Horner,1340653,1995-06-27,early / mid 2000s,none,none,classical,,"soundtrack, orchestral",solemn and majestic. symphony orchestra and percussions.,"brassWoodwinds,strings",balanced,"majestic,dignified,emotional,noble,solemn,proud,poignant,epic",epic,"heroic,epic",flowing,medium,70,aMajor,3/4
Gabriel's Oboe,6opPrJUpq4Pl5c84eCwLmo,Ennio Morricone,68502711,1986,late 1980s / early 1990s,none,none,classical,,"new age, new age piano","gentle, melodic theme featuring piccolo trumpet solo back to first mood.",brassWoodwinds,negative,"lyrical,noble,sentimental,solemn,quiet,graceful,romantic,serene","romantic,calm","warm,ethereal,heroic,sophisticated","flowing,steady",low,175,dMajor,3/4
Lux Aeterna,62Da3JOu9H9EIgmqV7DoLG,"Clint Mansell, Kronos Quartet",32809371,2000,early / mid 1990s,none,none,classical,,,serious and majestic strings,strings,negative,"mysterious,spiritual,concerned,serious,thoughtful,solemn","calm,chilled,dark,sad,ethereal","mysterious,heroic",flowing,low,134,gMinor,4/4
Moon River - Digitally Remastered,4R1K6YQV1tDJltK8EBHyND,Henry Mancini,18567867,2018-04-13,late 1960s / early 1970s,none,none,jazz,easyListening,"easy listening, adult standards, lounge, soundtrack",melancholic and nostalgic. violin ensemble with percussion.,"bassGuitar,strings",negative,"nostalgic,melancholic,sentimental,poignant,reflective,sad,bittersweet,emotional,serene,mournful,dreamy","sad,calm,romantic","ethereal,sophisticated,warm",flowing,low,78,fsMajor,3/4
"Main Title - From ""The Big Country""",19O5Tmv6ZYoBOoSnMoFomZ,The City of Prague Philharmonic Orchestra,1960993,2007-08-06,mid / late 1990s,none,none,"classical,jazz",easyListening,"soundtrack, light music","grandiose opening statement to episodic development, reprise to triumphant finale.","brassWoodwinds,strings",positive,"proud,positive,uplifting,noble,optimistic","epic,happy,romantic",heroic,bouncy,medium,70,gMajor,4/4
Merry Christmas Mr. Lawrence,17oLsEzzlGFlrBKViCzmGc,Ryuichi Sakamoto,85572466,1996,mid / late 2000s,none,none,ambient,,"minimalism, modern performance, soundtrack, bow pop, contemporary classical, post minimalism, compositional ambient","uplifting, piano and strings in an inspirational mood.","piano,strings",positive,"optimistic,confident,inspirational,positive,hopeful","uplifting,energetic,happy","sophisticated,warm","robotic,flowing",medium,112,dbMajor,4/4
A Time of Quiet Between the Storms,7lG5m4JN0exualOkghSNXq,Hans Zimmer,17480655,2024-02-23,late 2000s / contemporary,none,none,ambient,,epicore,"atmospheric, cinematic and panoramic. symphony orchestra and choir.","strings,synth",negative,"emotional,serious,spiritual,mournful,bittersweet","ethereal,calm","ethereal,epic,heroic,mysterious",flowing,low,70,aMajor,3/4
Romeo + Juliet (arr. P. Bateman): Romeo and Juliet: The Balcony Scene (arr. P. Bateman for piano and orchestra),5FOHBhUtWl2x5Z6qflA8nd,"Craig Armstrong, Paul Bateman, Royal Philharmonic Orchestra",17153390,2013-07-02,late 1990s / early 2000s,none,none,classical,,,theme 2 variation,strings,negative,"emotional,solemn,thoughtful,bittersweet,spiritual","calm,dark,romantic,sad,ethereal","heroic,magical","nonrhythmic,flowing",low,70,fMajor,3/4
Main Titles,6baN5nSUIVTsUyugSuAj7U,Vangelis,15115995,1994-06-06,early / mid 1990s,none,none,"ambient,classical",,,slow building expansive inspiring piece featuring heavenly female choir forward moving piano lush rich strings and rhythmic percussion,brassWoodwinds,negative,"solemn,emotional,dignified,passionate,serious","dark,epic,sad","heroic,epic,ethereal",flowing,medium,136,eMajor,3/4
The Imperial March (Darth Vader's Theme),2bw4WgXyXP90hIex7ur58y,"John Williams, London Symphony Orchestra",70797046,1980-01-01,late 1990s / early 2000s,none,none,classical,,"military band, bagpipe marching band, marching band",swashbuckling orchestral jaunt with multiple contrasting sections.,"brassWoodwinds,strings",balanced,"powerful,heroic,strong,triumphant,victorious,determined,proud,majestic,confident,epic,resolute","epic,energetic","heroic,powerful,epic",stomping,high,102,gMinor,4/4
633 Squadron: Main Theme,2B6zdyclDyCm1jjMTTzvkt,"Ron Goodwin, Rumon Gamba, BBC Philharmonic",246242,2004-11-01,early / mid 1990s,high,female,classical,,"classical, opera, romantic classical, orchestral, romantic era","exhilarating, celebratory and triumphant feature theme, building to grandiose finale.","brassWoodwinds,strings",positive,"majestic,proud,triumphant,heroic,epic,uplifting,noble,inspirational,optimistic,dignified,confident,aweInspiring,prestigious,victorious,bright",epic,"heroic,epic","stomping,steady,flowing",medium,175,fsMajor,3/4
Cinema Paradiso (Main Theme),0FFOaRW0WTJgd12cKEKuaC,Ennio Morricone,7304319,1988,late 1970s / early 1980s,none,none,jazz,easyListening,classic pop,"romantic orchestral theme, nostalgic melody featuring piano and strings.","brassWoodwinds,piano",positive,"lyrical,romantic,sentimental,graceful,warm",romantic,warm,flowing,medium,78,ebMajor,4/4
Portals,0OVtnS3l4vThGxkdqCxN6K,Alan Silvestri,49923815,2019-04-26,mid / late 1990s,high,female,classical,,"soundtrack, classic soundtrack","heroic, soaring choir and brass over driving percussion, and orchestra.","brassWoodwinds,percussion",balanced,"epic,heroic,powerful,majestic,adventurous,strong,triumphant,courageous,victorious,proud,exciting","epic,energetic","heroic,epic,powerful","stomping,driving,running",high,66,aMajor,4/4
Theme From Schindler's List,42gZM6AQ9BDMaTyTmMDVlN,"John Williams, Itzhak Perlman, Boston Symphony Orchestra",86175647,1993-01-01,late 1990s / early 2000s,none,none,classical,,"violin, classical, orchestra","a beautiful solo violin interpretation of the evoking the theme, played twice, the first time at a moderate tempo. the second time brighter atmosphere and the second is faster.",strings,balanced,"passionate,emotional,nostalgic,lyrical,graceful","romantic,chilled,energetic","sophisticated,warm","flowing,nonrhythmic",medium,136,cMajor,3/4
Arrival to Earth,4u4VElxO7JM4IR4jR4TL1s,Steve Jablonsky,90788653,2007-10-01,late 1990s / early 2000s,high,female,classical,,,epic orchestral action adventure with heavy percussive hits strings and choir building the drama,"strings,brassWoodwinds",negative,"epic,powerful,heroic,triumphant,determined,majestic,proud,victorious,prestigious,passionate,noble,dignified","energetic,epic","heroic,epic",stomping,high,72,csMinor,4/4
